"","aoi_name","Year","tas_max_year","tas_min_year","tas_mean_year","bio4_year","bio7_year","pr_max_year","pr_min_year","pr_mean_year","pr_accum_year","bio15_year","tas_max_spring","tas_min_spring","tas_mean_spring","bio4_spring","bio7_spring","pr_max_spring","pr_min_spring","pr_mean_spring","pr_accum_spring","bio15_spring","plotname"
"44","deheson_C5","2011",18.8666666666667,8.70000000000003,14.4333333333333,6.49204641593594,-26,115.61,12.01,71.1066666666667,426.64,51.6849214677296,20.0333333333333,10,15.8333333333333,4.42982317179064,-18.6,97.71,50.91,77.3066666666667,243.93,47.5397872003108,"deheson_C5_2011"
"45","deheson_C5","2012",18.7833333333333,7.11666666666668,13.1333333333333,7.26984639911097,-30.4,76.65,1.8,25.5683333333333,153.41,112.731906900529,19.5666666666667,8.20000000000001,14.2333333333333,4.38786204584117,-19,76.65,11.34,43.2833333333333,131.65,66.5929989896427,"deheson_C5_2012"
"46","deheson_C5","2013",17.2166666666667,7.30000000000001,12.9333333333333,5.83323809446062,-25.1,242.68,10.37,79.4833333333333,476.9,105.80446360609,17.3666666666667,7.6,13.3666666666667,3.05668665933121,-15.1,242.68,28.21,107.573333333333,333.09,78.1763582885229,"deheson_C5_2013"
"47","deheson_C5","2014",18.65,8.65,14.4166666666667,5.7540999875451,-24.4,170.12,4.18,78.7516666666667,472.51,81.3237290506292,20.3,9.23333333333333,15.5666666666667,3.47035060668706,-18,66.52,30.72,52.58,161.92,121.80257136336,"deheson_C5_2014"
"48","deheson_C5","2015",19.5666666666667,8.41666666666667,14.4,7.45493125387484,-29.4,81.27,12.74,45.2133333333333,271.28,57.2033986327235,21.3666666666667,9.53333333333332,15.8666666666667,4.33858655939157,-21,68.19,12.74,40.3766666666667,202.4,64.05571692019,"deheson_C5_2015"
"49","deheson_O6","2000",18.7166666666667,7.80000000000001,13.7666666666667,7.03183238328864,-30.3,195.2,6.58,64.835,389.01,105.411224971709,18.5666666666667,8.40000000000001,14.2,4.00374824383352,-16.8,195.2,51.63,107.896666666667,330.27,63.3415005502867,"deheson_O6_2000"
"50","deheson_O6","2001",18.9833333333333,8.88333333333335,14.9166666666667,6.19981182510136,-27.1,268.29,0.78,108.155,648.93,102.666335004394,19.3666666666667,9.0666666666667,15.3666666666667,2.69505720409296,-14.5,214.6,0.78,89.5333333333333,276.19,124.019480220405,"deheson_O6_2001"
"51","deheson_O6","2002",18.7333333333333,8.06666666666667,14.1166666666667,6.16000541125303,-27.1,109.72,10.6,53.755,322.53,70.6622274829147,18.8,7.90000000000002,14.2,2.40624188310317,-15.5,109.72,36.78,70.4633333333333,221.99,53.9067321776444,"deheson_O6_2002"
"52","deheson_O6","2003",18.7,8.61666666666668,14.4166666666667,7.22700952446216,-28.7,132,12.49,72.525,435.15,71.2864616115656,19.7333333333333,9.16666666666669,15.4,3.59304884464433,-17.1,73.47,17.16,53.9866666666667,174.45,95.7653240623388,"deheson_O6_2003"
"53","deheson_O6","2004",18.1666666666667,7.88333333333334,13.8,6.5455328278147,-28,84.59,15.09,55.5433333333333,333.26,51.0488646765777,17.4333333333333,7.36666666666667,13.3666666666667,2.80059517483931,-14.9,81.43,45.41,66.5566666666667,214.76,42.6016543349434,"deheson_O6_2004"
"54","deheson_O6","2005",18.6333333333334,7.48333333333334,13.5,8.17997555008571,-31.8,47.89,5.86,27.0966666666667,162.58,62.4097623778106,19.5666666666667,8.5,14.8333333333334,4.2852460061627,-19.5,47.89,21.95,34.4933333333333,109.34,49.0267644345982,"deheson_O6_2005"
"55","deheson_O6","2006",18.7666666666667,8.18333333333334,14.0833333333333,7.38333709555962,-28.5,127.38,19.88,53.9033333333333,323.42,71.5935294909184,20.2333333333333,9.33333333333333,15.5666666666667,4.21939964133918,-19.5,127.38,19.88,65.9733333333333,226.24,58.4952993834701,"deheson_O6_2006"
"56","deheson_O6","2007",17.7166666666667,7.60000000000001,13.4,5.2562343935559,-23,89.45,22.4,60.565,363.39,49.9526875425653,18.5666666666667,7.80000000000001,14.0666666666667,3.20832251080427,-17.3,89.45,22.4,59.4833333333333,252.72,50.8610454639754,"deheson_O6_2007"
"57","deheson_O6","2008",18.0666666666667,7.91666666666667,13.6833333333334,5.18398173865097,-23.9,175.55,11.01,66.7516666666667,400.51,90.3655470625396,18.2333333333333,7.70000000000001,13.7,2.55342906696074,-15.2,175.55,12.58,89.4933333333333,279.49,67.4022371387398,"deheson_O6_2008"
